Name,Address,Location,Category,Role,Profession,Additional Info,Journal,Notes,Political Party,page_num,source_file,section,civic_num,civic_lett,sestiere_parsed,parish_parsed,sestiere_implied,match_note,fail_reason,nom_classification,is_provincia,geocoding_tier,match_confidence,nominatim_query,llm_cleaned_address,nominatim_flagged,matched_lat,matched_lon
Vacante,Palazzo Loredan,S. Pietro in Volta,,Medici di Circondario,", ,",,,,,49,page_49_semantic.csv,government,,,,San Pietro,False,No centroid for s. pietro in volta,no_civic_number,outside_venice,False,,outside_venice_failed,,,False,,
Vacante,Palazzo Loredan,S. Pietro in Volta,,Ostetriche di Reparto,", ,",,,,,49,page_49_semantic.csv,government,,,,San Pietro,False,No centroid for s. pietro in volta,no_civic_number,outside_venice,False,,outside_venice_failed,,,False,,
Coop. Ind. Aff. Ittica e Agricola L. P. I A.,S. Pietro in Volta,Agrumi (grossisti),Alberghi,,,,,,,137,page_137_semantic.csv,industria,,,,San Pietro,False,No centroid for s. pietro in volta,no_civic_number,outside_venice,False,,outside_venice_failed,,,False,,
Busetto Candido,S. Pietro in Volta,Pellestrina,Location: PELLESTRINA,,,"Pensioni e Locande,",,,,143,page_143_semantic.csv,industria,,,,San Pietro,False,No centroid for s. pietro in volta,no_civic_number,outside_venice,False,,outside_venice_failed,,,False,,
Industria Prodotti Ittici Conservati ed Affini,Via Vianelli 573,S. Pietro in Volta,Pellestrina,,,Soc. An.,,,,143,page_143_semantic.csv,industria,573.0,,,San Pietro,False,Nominatim failed and no centroid for s. pietro in volta,number_not_in_reference,outside_venice,False,,outside_venice_failed,"Via Vianelli 573, S. Pietro in Volta, Italy","Via Vianelli 573, S. Pietro in Volta",False,,
Vianello Giovanni,S. Pietro in Volta,Pellestrina,Location: PELLESTRINA,,,"Pensioni e Locande,",,,,143,page_143_semantic.csv,industria,,,,San Pietro,False,No centroid for s. pietro in volta,no_civic_number,outside_venice,False,,outside_venice_failed,,,False,,
Zennaro Italia,S. Pietro in Volta,Alluminio,Pellestrina,,,"Pensioni e Locande,",,,,143,page_143_semantic.csv,industria,,,,San Pietro,False,No centroid for s. pietro in volta,no_civic_number,outside_venice,False,,outside_venice_failed,,,False,,
Scarpa Giuseppe,Castello 3151,S. Pietro in Volta,2288,25-889,Mestre,trattoria,,,,453,page_453_semantic.csv,indice_generale,3151.0,,CASTELLO,San Pietro,False,Nominatim failed and no centroid for s. pietro in volta,number_not_in_reference,outside_venice,False,,outside_venice_failed,"S. Pietro in Volta, Italy",S. Pietro in Volta,False,,
Laboratorio Camicerie Eugenia Speri,SOTTOPORT. delle ACQUE 5013,,Camiceria,,,,,,,5,page_5_semantic.csv,cover_ads,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
SOMMO PONTEFICE S. S. PIO XII,,,,SOMMO PONTEFICE,,(Eugenio Pacelli) (CCXLII dopo S. Pietro) nato a Roma il 2 marzo 1876 - Eletto Pontefice il 2 marzo 1939,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
GENNARO GRANITO PIGNATELLI DI BELMONTE,,,,Vescovo di Ostia e di Albano,,Decano del Sacro Collegio,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
ENRICO SIBILIA,,,,Vescovo di Sabina e Poggio Mirteto,,",",,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
ENRICO GASPARRI,,,,Vescovo di Velletri,,",",,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
FRANCESCO MARCHETTI SELVAGGIANI,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,Vescovo di Frascati,,",",,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
EUGENIO TISSERANT,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,Vescovo di Porto e Santa Sabina,,",",,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
CARLO SALOTTI,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,Vescovo di Palestrina,,",",,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
GREGORIO PIETRO AGAGIANIAN,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,tit. S. Bartolomeo all’Isola,,Patriarca di Cilicia degli Armeni,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
ALESSIO ASCALLESI,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,tit. di San Callisto,,Arc. di Napoli,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
BENEDETTO ALOISI MASELLA,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,tit. S. Maria in Vallicella,,",",,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
MICHELE DE FAULHABER,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,tit. di Sant’Anastasia,,Arc. di Monaco e Frisinga,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
DIONISIO DOUGHERTY,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,tit. dei Santissimi Nereo ed Achilleo,,Arc. di Filadelfia,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
CLEMENTE MICARA,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,tit. S. Maria sopra Minerva,,",",,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
ADAMO STEFANO SAPIEHA,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,tit. S. Maria Nuova e S. Francesca Rom,,Arc. Cracovia,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
EDOARDO MOONEY,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,tit. S. Susanna,,Arc. di Detroit,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
GIOVANNI BATTISTA NASALLI-ROCCA DI CORNELIANO,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,tit. di S. Maria in Traspontina,,Arc. di Bologna,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
GIULIO SALEIGE,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,tit. Arc. di Tolosa,,",",,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
GIACOMO CARLO MC GUIGAN,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,tit. Sta. Maria del Popolo,,Arc. Toronto,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
ALESSANDRO VERDE,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,tit. di S. Maria in Cosmedin,,",",,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
SAMUELE STRITCH,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,tit. di S. Agnese fuori le mura,,Arc. di Chicago,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
GIUSEPPE ERNESTO VAN ROEY,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,tit. di S. Maria in Aracoeli,,Arc. di Malines,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
AUGUSTO HLOND,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,tit. di S. Maria della Pace,,Arc. di Gnesua e Posnania,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
PIETRO SEGURA Y SAENZ,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,tit. di S. Maria in Trastevere,,Arc. di Siviglia,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
AGOSTINO PARRADO Y GARCIA,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,tit. S. Agostino,,Arc. di Granata,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
ALFREDO IDELFONSO SCHUSTER,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,tit. dei Santi Silvestro e Martino ai Monti,,Arc. di Milano,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
EMANUELE CONCALVES CEREJEIRA,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,tit. dei Santi Marcellino e Pietro,,Patriarca di Lisbona,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
LUIGI LAVITRANO,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,tit. di S. Silvestro in Capite,,Arc. di Palermo,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
EMILIO ROQUES,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,tit. S. Balbina,,Arc. di Rennes,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
GIOVANNI DE JONG,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,Arc. di Utrecht,,",",,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
CARLO CARMELO DE VASCONCELLOS MOTTA,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,tit. di S. Pancrazio,,Arc. di S. Paolo del Brasile,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
RAFFAELLO CARLO ROSSI,ORDINE DEI DIACONI,,,Segret. della S. Congregazione Concistoriale,,tit. di S. Prassede,,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
PIETRO PETIT DE JULLEVILLE,tit. di S. Maria in Aquiro,,,Arce di Rouen,,ORDINE DEI DIACONI,,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
ACHILLE LIENART,tit. di S. Maria in Aquiro,,,Vescovo di Lilla,,tit. di S. Sisto,,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
PIETRO FUMASONI BIONDI,tit. di S. Croce in Gerusalemme,,,Prefetto della Congregazione di Propaganda Fide,,Cancellierte dell'Ateneo di Propaganda Fide,,,,37,page_37_semantic.csv,religious,,,SANTA CROCE,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
MAURILIO FOSSATI,tit. di S. Croce in Gerusalemme,,,Arc. di Torino,,tit. di S. Marcello,,,,37,page_37_semantic.csv,religious,,,SANTA CROCE,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
RODRIGO VILLENEUVE,tit. di S. Maria degli Angeli,,,Arc. di Quebec,,ORDINE DEI DIACONI,,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
NORMANNO GILROY,tit. SS. Quattro Coronaji,,,Arc. Sydney,,ORDINE DEI DIACONI,,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
CLEMENTE DE GOUVELA,tit. di S. Pietro in Vincoli,,,Arc. di Lorenzo Marques,,ORDINE DEI DIACONI,,,,37,page_37_semantic.csv,religious,,,,San Pietro,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
EMANUELE CELESTINO SUHARD,tit. di S. Pietro in Vincoli,,,Arc. di Parigi,,tit. di S. Onofrio,,,,37,page_37_semantic.csv,religious,,,,San Pietro,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
GIACOMO DE BARROS CAMARA,tit. SS. Bonifacio e Alessio,,,Arc. di S. Sebastiano de Rio de Janeiro,,ORDINE DEI DIACONI,,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
GIACOMO LUIGI COPELLO,tit. SS. Bonifacio e Alessio,,,Arc. di Buenos Ayres,,tit. di S. Girolamo degli Schiavoni,,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
ENRICO PLA Y DENIEL,"tit, S. Pietro in Montorio",,,Arc. di Toledo,,ORDINE DEI DIACONI,,,,37,page_37_semantic.csv,religious,,,,San Pietro,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
EMANUELE ARTEAGA Y BETANCOURT,"tit, S. Pietro in Montorio",,,Arc. di S. Cristoforo - Avana,,tit. di S. Lorenzo in Lucina,,,,37,page_37_semantic.csv,religious,,,,San Pietro,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
ADOMAITo GIOVANNI PIAZZA dei Carmelitani Scalzi,"tit, S. Pietro in Montorio",,,Patriarca di Venezia,,tit. di S. Prasso,,,,37,page_37_semantic.csv,religious,,,,San Pietro,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
GIUSEPPE FRINGS,tit. di S. Giovanni a Porta Latina,,,Arc. di Colonia,,ORDINE DEI DIACONI,,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
GUALBERTO GIOVANNI GUEVARA,tit. di S. Giovanni a Porta Latina,,,Arc. di Lima,,tit. S. Eusebio,,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
PIETRO GERLIER,"tit, della SS. Trinità al Monte Pincio",,,Arc. di Lione,,ORDINE DEI DIACONI,,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
BERNARDO GRIFFIN,tit. SS. Andrea e Gregorio al Monte Celio,,,Arc. di Westminster,,ORDINE DEI DIACONI,,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
EMANUELE ARCE Y OCHOTORENA,"tit. SS. Vitale, Gervasio e Protaso",,,Arc. di Tarragona,,ORDINE DEI DIACONI,,,,37,page_37_semantic.csv,religious,,,,Santi Gervasio e Protasio,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
GIUSEPPE MINDSZENTY,"tit. SS. Vitale, Gervasio e Protaso",,,Arc. di Strigonia,,tit. S. Stefano al Monte Celio,,,,37,page_37_semantic.csv,religious,,,,Santi Gervasio e Protasio,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
ERNESTO RUFFINI,tit. di Santa Sabina,,,Arc. di Berlino,,ORDINE DEI DIACONI,,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
Avv. Enrico De Nicola,,,,Capo provvisorio dello Stato,,,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
Dr. Alcide De Gasperi,,,,Pres. del Consiglio,Min. dell'Interno,Dem. Crist.,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. Dr. Pietro Nenni,,,,ESTERI,,Socialista,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. Avv. Fausto Gullo,,,,GRAZIA E GIUSTIZIA,,Comunista,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. Dr. Mauro Scoccimarro,,,,FINANZE,,Comunista,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. Dr. Giov. Battista Bertone,,,,TESORO,,Dem. Crist.,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. Avv. Cipriano Facchinetti,,,,GUERRA,,Repubblicano,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. Dr. Giuseppe Michieli,,,,MARINA DA GUERRA,,Dem. Crist.,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. Avv. Salvatore Aldisio,,,,MARINA MERCANTILE,,Dem. Crist.,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. Avv. Mario Cingolani,,,,AERONAUTICA,,Dem. Crist.,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. Dr. Guido Gonella,,,,PUBBLICA ISTRUZIONE,,Dem. Crist.,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. Ing. Giuseppe Romita,,,,LAVORI PUBBLICI,,Socialista,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. Ing. Giacomo Ferrari,,,,TRASPORTI,,Comunista,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. Avv. Prof. Antonio Segni,,,,AGRICOLTURA,,Dem. Crist.,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. Avv. Mario Scelba,,,,POSTE E TELECOMUNICAZIONI,,Dem. Crist.,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. Prof. Rodolfo Morandi,,,,INDUSTRIA E COMMERCIO,,Socialista,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. Ludovico D'Aragona,,,,LAVORO E PREVIDENZA SOCIALE,,Socialista,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. Dr. Emilio Sereni,,,,ASSISTENZA POST-BELLICA,,Comunista,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. Dr. Pietro Campilli,,,,COMMERCIO CON L'ESTERO,,Dem. Crist.,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. Dr. Cino Macrelli,,,,Ministri senza portafoglio,,Repubblicano,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. PAOLO CAPPA,,,,Sottosegretari di Stato,,Presidenza del Consiglio,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. GIUSEPPE PELLA,,,,Sottosegretari di Stato,,Affari Esteri,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. GIUSEPPE BRUSASCA,,,,Sottosegretari di Stato,,Affari Esteri,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. GIUSEPPE LUPIS,,,,Sottosegretari di Stato,,Italiani all’Estero,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. ANGELO CORSI,,,,Sottosegretari di Stato,,Interno,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. ACHILLE MARAZZA,,,,Sottosegretari di Stato,,Grazia e Giustizia,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. SALVATORE SCOCCA,,,,Sottosegretari di Stato,,Finanze,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. RAFFAELE PIO PETRILLI,,,,Sottosegretari di Stato,,Tesoro,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. VINCENZO CAVALLARI,,,,Sottosegretari di Stato,,Danni di Guerra,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. GIUSEPPE MONTALBANO,,,,Sottosegretari di Stato,,Marina Mercantile,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. VITO MARIO STAMPACCHIA,,,,Sottosegretari di Stato,,Marina da Guerra,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. GIUSE FIORENTINO,,,,Sottosegretari di Stato,,Aeronautica,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. GIUSEPPE BELLUSCI,,,,Sottosegretari di Stato,,Pubblica Istruzione,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. PIER CARLO RESTAGNO,,,,Sottosegretari di Stato,,Lavori Pubblici,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. ANGELO RAFFAELE JERVOLINO,,,,Sottosegretari di Stato,,Trasporti,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. VELIO SPANO,,,,Sottosegretari di Stato,,Agricoltura e Foreste,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. ROBERTO TREMELLONI,,,,Sottosegretari di Stato,,Industria e Commercio,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. GENNARO CASSIANI,,,,Sottosegretari di Stato,,Lavoro e Previdenza Sociale,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. GIUSEPPE CHIOSTERGI,,,,Sottosegretari di Stato,,Commercio Estero,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. LUIGI DE FILPO,,,,Sottosegretari di Stato,,Poste e Telecomunicazioni,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. ENRICO MARTINO,,,,Sottosegretari di Stato,,Guerra,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. LUIGI CHATRIAN,,,,Sottosegretari di Stato,,Guerra,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
On. LUIGI CACCIATORE,,,,Sottosegretari di Stato,,Assistenza Post-Bellica,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
